Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
88, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
89, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
90, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
91, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
92, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
93, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
94, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
95, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
96, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
97, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
98, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
99, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
100, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
101, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
102, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
103, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
104, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
105, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
106, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
107, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
108, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
109, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
110, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
111, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
112, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
113, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
114, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
115, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
116, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
117, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
118, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
119, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
120, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
121, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
122, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
123, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
124, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
125, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
126, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
127, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
128, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
129, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
130, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
131, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
132, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
133, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
134, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
135, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
136, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
137, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
138, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
139, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
140, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
141, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
142, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
143, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
144, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
145, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
146, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
147, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
148, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
149, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
150, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
151, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
152, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
153, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
154, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
155, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
156, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
157, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
158, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
159, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
160, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
161, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
162, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
163, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
164, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
165, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
166, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
167, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
168, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
169, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
170, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
171, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
172, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
173, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
174, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
175, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
176, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
177, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
178, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
179, 1000, 1.61174e-06, 1.74533e-10, 0.0697965, 0.001
