# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
18.40232406814944,77.24024106209245,-1825.761313543577,184.4621152698372
18.39720470434939,77.23954566272974,-1836.876703222648,54.4713353514411
18.39208534095128,77.23884968095081,-1899.752081046411,40.68468713365435
18.38697597776018,77.23815347724313,-1983.267453386735,36.62412502462546
18.38185661457717,77.23745735541186,-2058.592825723741,42.24514746472487
18.37674725106032,77.23676198480943,-2068.078209885209,26.73791739028088
18.37162788756527,77.23606668403451,-2070.443593828928,49.43810142608911
18.36651852417131,77.23537135813108,-2075.958975797237,32.66722136891253
18.36139916078831,77.2346761241019,-2072.394357937016,36.63416153610549
18.35628979746986,77.23398093301384,-2065.929739315415,52.8349606010522
18.35117043423774,77.23328569629602,-2062.605118419845,35.60471730056955
18.3460610711122,77.23259042342417,-2063.410495359157,50.10925002491021
18.34094169876409,77.23190514910758,-2063.426226520683,40.51681712351324
18.33583233581474,77.23120982225278,-2069.031599530754,36.41470754418336
18.33071297287946,77.23051458657834,-2065.616972694933,54.96606150237506
18.32560361013485,77.22981914972388,-2081.00234076825,25.231658702257
18.32048424736589,77.22912387930781,-2080.677710333826,44.31647049608099
18.31537488476105,77.22842845609479,-2094.853075673568,37.61695527103554
18.31026552222118,77.22773304898367,-2107.598439812399,27.0564550429236
18.30514615969728,77.22703773259428,-2111.363804093386,54.79720122784222
18.30003679719428,77.22634254698794,-2104.419169198709,26.60197401143015
18.29491742547677,77.22565733709553,-2098.71488820632,41.18468552732281
18.28471871949835,77.2242468632019,-2095.79489751653,29.15034514424471
18.27961935731385,77.22355166148684,-2091.200256383858,53.44870538315809
18.27450999516813,77.2228565112131,-2081.115614692768,29.04181643851038
18.26941063317043,77.22216123067048,-2083.530969198134,34.00586909632194
18.26431127119253,77.2214660651795,-2075.716324271293,41.17074347081747
18.25920191862703,77.2207607820297,-2077.451319894714,21.79043785879091
18.25410255697303,77.22006524073772,-2103.05666531481,46.83793356053111
18.24899319524895,77.21936998568732,-2102.292014348235,22.86576074807958
18.24389383352841,77.21867490916463,-2086.567365084649,28.54126407422266
18.23878448125192,77.21796964831212,-2086.322355138479,40.77592916621318
18.23368511972008,77.21727448757133,-2078.08770141324,14.87200315434943
18.22857575814892,77.21657956084042,-2048.123050369583,43.04137242801763
18.22347639674889,77.2158844430401,-2036.06839446,25.59927479689815
18.21836703544745,77.21518924894008,-2029.883735707951,25.89425088932691
18.21326768350376,77.21448411318735,-2019.428720557519,43.89430741192522
18.20815832241171,77.21378878171788,-2025.464056401297,20.18710040747975
18.20305896136596,77.21309353745418,-2024.659392338432,41.06727362520801
18.1979496004264,77.21239819509904,-2031.664725041375,35.00475548864713
18.19285024886829,77.21169285803815,-2039.11970036879,31.5747742992092
18.18774088802859,77.21099763170517,-2035.805032182434,51.48902127953074
18.18264152724063,77.21030248334587,-2026.470363933585,24.28092781926241
18.17753216655578,77.2096072437555,-2024.335692569566,40.84605206510248
18.1724328058846,77.20891217710663,-2007.731022837812,27.63258700876412
18.1673234547118,77.2082067894284,-2018.775989830561,20.10987181855913
18.16222409427757,77.20751150508639,-2021.541313276908,48.73215685486095
18.15711473388391,77.20681628394534,-2017.766636353499,11.60485292646552
18.15200537354697,77.20612110899515,-2009.881958786411,31.81256513499991
18.14690601330608,77.20542590131006,-2005.827279197953,30.09731886944291
18.14179665319355,77.20473053094548,-2015.332595216793,11.15930620223035
18.13669729314018,77.20403522045206,-2020.427910869557,49.09460529431105
18.1315879331613,77.20333988662745,-2026.683224606785,12.60941776938647
18.12648858257983,77.2026345309056,-2035.808180375639,28.28336186320474
18.1213792227063,77.20193931361835,-2031.693493250292,35.30393621102131
18.11626986295081,77.20124397712175,-2038.188802536715,13.64003254325557
18.11117050327786,77.20054863768102,-2045.864110348622,47.96845422701147
18.10606114369306,77.19985323637493,-2058.129415555752,19.93454260908836
18.10096178413056,77.19915800110248,-2056.53472230214,32.00939538558747
18.0958524339924,77.1984526323222,-2065.90966895221,38.30558886456154
18.09075307462303,77.1977572689886,-2075.71497048798,18.36467106723902
18.08562369666874,77.19708194589992,-2079.180983603461,45.40103561548511
18.08051432810617,77.19639664279107,-2082.706639506232,28.78139358924518
18.07539495960267,77.19571136106234,-2083.412294300583,27.38219839313948
18.0702855912062,77.19502599809256,-2092.267946257799,44.39134543454825
18.06517622287507,77.19434065748572,-2099.133597177289,14.80803239492887
18.060056863928,77.19364530650762,-2106.00889013331,37.33904051933663
18.0549474956749,77.19296017921877,-2093.884541968301,28.10397997468252
18.04983812756303,77.19227484031579,-2100.600188595656,14.54946496857544
18.04471875948965,77.19158959152686,-2098.375835335115,50.16496420618174
18.03960939147866,77.19090439898086,-2092.061481698847,20.71603158818983
18.03449002359053,77.1902190265421,-2100.847123360342,31.43642070622077
18.02938065577666,77.18953366868455,-2109.252763910529,32.60756823025768
18.02427129729697,77.18883850111624,-2100.718050060538,9.844692901862077
18.01915192956264,77.18815335195127,-2089.623691386308,46.66773190999395
18.01404256192186,77.18746815604021,-2083.60933051355,16.49199626651626
18.0089331943143,77.18678310161575,-2064.994970729838,22.85892174655746
18.00381382677346,77.18609805731133,-2044.56060962562,38.6214330325921
17.99870445934542,77.18541289731787,-2035.346245099578,6.011520624287064
17.99359509198832,77.18472774888554,-2025.101879350381,39.54283094480219
17.98847572472005,77.18404252872942,-2020.327510818291,22.9687188563426
