# latitude,longitude,height above datum (meters),error (meters)
# Geodetic Datum --> Name: D_MARS  Spheroid: MARS  Semi-major axis: 3396190  Semi-minor axis: 3396190  Meridian: Reference Meridian at 0
# Projection: +proj=longlat +a=3396190 +b=3396190 +no_defs
16.68627119523878,78.03309658708183,-3282.518302653516,50016.75660603892
16.6913818851678,78.03242185894229,-3281.903219157713,49749.55089831103
16.6964825843716,78.03173712370675,-3280.997779174318,49482.92298953042
16.70159328365484,78.03105238426136,-3281.392338659003,49216.26786400589
16.706703982802,78.03036765885929,-3280.526899450565,48950.05607065163
16.71180468174568,78.02968293161811,-3278.901462772639,48684.77125332822
16.71691537115972,78.02900823632655,-3275.336385082913,48419.80714504046
16.72202606939139,78.02832367076739,-3260.140951900745,48154.90685455123
16.72712676837661,78.02763888190674,-3264.035517274168,47891.0693554406
16.73223746965553,78.02695357546328,-3315.240072914264,47627.56533904657
16.73733816146979,78.02627822284686,-3369.654989115607,47365.46806210254
16.74243886090809,78.02559327600994,-3387.699554817285,47103.26557187764
16.74754956001252,78.02490842046966,-3398.484121714953,46841.05293742583
16.75266025902247,78.02422356926186,-3408.878689750876,46579.36469949032
16.75776095799836,78.02353867692777,-3422.033259608243,46318.70393009594
16.76287164819617,78.02286364277077,-3448.818185264608,46058.62657770299
16.76797234686921,78.0221787856573,-3458.812757866638,45799.03947631179
16.77818374395614,78.02080911036435,-3476.231905457418,45281.07229312039
16.78329444192767,78.02012439521201,-3474.426482296512,45022.60191964938
16.78840516771118,78.01940978438151,-3463.269985873376,44763.52084775634
16.79350587504929,78.01871502060698,-3464.894206770082,44506.36229720075
16.79861657328967,78.01803018966567,-3473.458784765478,44249.80626873356
16.80371728011885,78.01733550914082,-3467.623009313351,43993.77818180168
16.80882798699055,78.0166408323261,-3462.377233521005,43737.93197921393
16.81393869408915,78.01594608472523,-3463.471457546596,43482.80270273142
16.81903940096024,78.01525134109762,-3463.285684218486,43228.75412582057
16.8241500984068,78.01456660710457,-3463.160269327717,42975.29414403759
16.82926080553138,78.01387179996105,-3469.584495539009,42722.22073604928
16.83436151132264,78.01317725570337,-3451.538729039812,42469.95608263942
16.83947221844629,78.01248241303256,-3461.14295679076,42218.30490522035
16.84458292471381,78.01178775301223,-3454.387188909134,41967.14979344964
16.84968363139197,78.0110929475747,-3459.731420994488,41717.31534691047
16.85479432832113,78.01040822847918,-3458.26601284257,41468.07210213049
16.85990503487096,78.00971344872964,-3462.230246077607,41219.27055763418
16.86500574119555,78.00901867262108,-3464.94448195196,40971.64797840582
16.87011644734264,78.00832395158453,-3463.648718425494,40724.31311357887
16.87521715337656,78.00762920794993,-3463.452957068502,40478.21324276282
16.88032785009595,78.006944449269,-3465.527553613946,40232.91588641611
16.88543855610133,78.00624970787653,-3466.051792995755,39988.02583586673
16.89053926210508,78.00555491763875,-3470.026034076064,39744.44618743608
16.89564996784128,78.00486020369901,-3468.090276139854,39501.20552713122
16.90076067339852,78.00416551398682,-3463.984519737098,39258.79864839092
16.9058613785504,78.00347087070216,-3454.798766739062,39017.61364418508
16.9109720839515,78.00277618198156,-3450.60301254869,38776.98479358092
16.91608277972952,78.00209152051731,-3443.967618436484,38537.64118325842
16.92118348497621,78.001396801261,-3441.581867361079,38299.30111822882
16.92629419011155,78.00070212156652,-3436.576116619671,38061.45937475713
16.93140489531876,78.00000740690167,-3434.700366352697,37824.63440202502
16.93651560006175,77.99931278405221,-3424.604618832829,37588.66972435595
16.94161629543978,77.99862809694839,-3419.339231175406,37354.60268028118
16.94672700080388,77.99793329121559,-3425.613482571801,37120.92170512259
16.95183770534804,77.99723866164655,-3416.117738227663,36888.03937419817
16.95693841132525,77.99654364315178,-3440.511989484611,36657.15768568514
16.96204910682444,77.99585888688134,-3442.356603483084,36427.03053910304
16.96715981143222,77.99516418813083,-3439.050861202092,36197.50121697852
16.97226051518227,77.99446964387002,-3420.995124259001,35969.23999124062
16.97737122038461,77.99377476779112,-3433.559381011437,35742.24688596727
16.98248192578602,77.99307982610529,-3451.993637694632,35516.5365702531
16.98758261998661,77.99239525759398,-3436.108261991177,35292.23677352264
16.992713313089,77.99171102616057,-3392.822889029309,35067.56612365592
16.99783400670545,77.99102662374726,-3363.917515557501,34844.78514025498
17.00294470157142,77.99034187491282,-3365.092138428297,34624.12716172337
17.00805540720035,77.98964678847128,-3396.47639802444,34404.81710408457
17.01316610341451,77.98896168188858,-3429.661016678012,34187.3375492358
17.01827679949207,77.98827658957507,-3461.565636679316,33971.22017960404
17.02338749441786,77.9875917539474,-3470.500262371718,33756.0539062532
17.02850818902993,77.98690700628642,-3472.484889275786,33541.79298053276
17.03361889298645,77.9862122274034,-3476.339159903879,33328.89745676555
17.03872958560518,77.98552788923202,-3440.763797797433,33117.11954920952
17.04385027643571,77.98484399246402,-3366.618443238605,32905.80848893552
17.04896097725306,77.98414991125334,-3308.052729684978,32696.27335811184
17.05408167093412,77.98346529716703,-3298.087364480744,32489.19412529766
17.05919237033961,77.98277151908674,-3212.401658577217,32282.48297336511
17.06430306789414,77.98208590954843,-3290.576279197626,32080.16727177
17.0694137665207,77.9814000238067,-3393.450895969502,31880.15023275319
17.07452446268056,77.98071471097735,-3445.065524101335,31681.05080559872
17.07963515750071,77.98002970128555,-3469.560158761157,31483.14060360695
17.08474585130076,77.97934491841049,-3473.76479858388,31286.52360644677
17.09497724724675,77.97796558597895,-3462.223726109422,30897.34477119121
17.10008793943773,77.9772811360441,-3436.648375204895,30705.43109128076
17.1052086315451,77.97659671944935,-3409.013024556771,30515.03560435908
